84	2.716    9.42         	59.9803      63.2646      	15     8      	7.19082    2.2208   1.7847   2.1931
85	4.336    11.789       	58.2305      55.8526      	24     11     	7.13215    1.8399   2.1989  -2.1205
86	4.961    14.548       	60.3368      62.0974      	27     12     	7.374   -2.2160  -1.9659   2.1952
87	3.188    12.712       	51.8492      63.7224      	17     11     	7.20828   -2.1523  -2.1207   1.9647
88	4.724    11.297       	60.6007      54.0571      	26     10     	7.24264    2.1800  -2.0450  -2.0444
89	4.143    18.025       	59.3981      54.2965      	23     15     	7.10841    1.8820   2.1410  -2.1229
90	5.824    14.412       	62.2945      72.9594      	32     13     	7.4858   -2.1079   2.1920  -2.1821
91	3.637    9.328        	59.818       46.5376      	20     8      	7.32017    1.8650  -2.2358   2.2179
92	2.583    13.768       	64.8802      41.0899      	14     12     	7.11457   -2.0877   2.0070   2.0658
93	5.784    14.591       	53.6878      98.1415      	31     13     	7.26256   -2.0447   2.1522   2.0913
94	6.385    9.508        	64.6572      62.5894      	35     8      	7.47568   -2.0707  -2.1960   2.2048
95	4.489    37.679       	37.1832      37.1739      	25     34     	7.24126    2.2287  -1.9891  -2.0458
96	5.129    8.523        	60.2075      57.8996      	28     7      	7.11645   -1.8032   2.0949  -2.2407
97	9.517    10.245       	63.6912      61.1766      	54     9      	7.16689    2.0549  -2.1033   2.0481
98	2.352    19.248       	57.7306      48.677       	13     17     	7.15511    1.9486  -2.1307  -2.1123
99	2.531    9.708        	50.0523      60.6578      	14     9      	7.5527   -2.2302  -2.2394   2.0669
100	4.209    21.218       	59.1945      56.5014      	23     20     	7.27086    2.1614  -1.9250  -2.1998
