26	7.434    5.289        	11.7468      10.8473      	41     11     	  -2.2519   2.2401   0.6531
27	1.835    3.315        	24.302       22.4632      	10     7      	  -2.2538  -0.3857   2.2548
28	2.885    3.574        	23.8955      47.5734      	16     7      	  -0.6424   2.2550   2.2502
29	1.69     3.059        	24.5139      28.2747      	9      6      	  -0.1028   2.2416  -2.2491
30	4.886    4.056        	8.09951      6.64996      	27     8      	  -2.2456  -2.2523   0.1018
31	1.846    2.515        	34.4545      39.5676      	10     5      	   1.0544   2.2410  -2.2459
32	2.991    5.8          	24.0086      34.8658      	16     18     	   2.2594   0.6477   2.2532
33	6.29     5.236        	17.5943      19.4391      	34     12     	  -2.2436   2.2599  -0.9715
36	4.236    5.045        	57.7026      46.4676      	23     10     	   1.8714  -2.2540   2.2571
37	1.846    3.668        	25.2331      33.814       	10     12     	  -2.2501  -0.5521   2.2479
38	8.274    5.572        	58.5571      66.0402      	45     11     	  -2.2424   2.2579  -1.7129
39	4.02     3.854        	60.0143      51.2269      	22     8      	   1.9374   2.2520  -2.2413
40	2.544    5.57         	32.7984      43.5102      	14     16     	   2.2519  -1.0838   2.2581
41	1.113    5.501        	38.5626      38.5629      	6      12     	   1.0194  -2.2482  -2.2505
42	5.83     6.519        	9.29582      7.82102      	32     18     	   2.2465  -2.2482   0.4147
43	1.844    4.262        	23.6384      31.8787      	10     9      	  -0.0549  -2.2524   2.2487
44	1.667    4.516        	29.1242      33.6864      	9      15     	  -2.2441   0.7950  -2.2542
45	7.472    5.951        	14.7447      15.0182      	41     12     	   2.2458   2.2591   0.8509
46	4.344    3.747        	56.2152      56.5519      	24     12     	  -2.2468  -1.4871   2.2569
47	4.754    3.069        	8.60394      8.12326      	26     6      	   2.2520  -2.2465  -0.2473
48	1.654    4.282        	24.5429      28.2893      	9      9      	  -2.2551   0.0219  -2.2546
49	4.848    3.562        	59.4812      54.3969      	26     7      	   1.6193  -2.2456  -2.2563
50	6.258    5.577        	49.8562      44.9253      	34     11     	   2.2555  -2.2442  -2.0507
51	3.085    6.129        	59.5933      48.8273      	17     16     	  -1.5546   2.2445  -2.2413
52	4.961    7.111        	8.13731      6.67891      	27     16     	   2.2546   2.2577   0.0766
53	3.863    5.351        	63.9214      51.2219      	21     12     	   2.2403  -2.1480  -2.2432
54	1.913    3.693        	29.8764      34.5047      	10     8      	  -2.2542   0.8397  -2.2465
55	5.294    3.515        	18.4635      20.7064      	29     7      	   2.2593  -2.2433  -1.0138
57	6.542    4.545        	24.2244      29.9764      	36     9      	  -2.2561  -2.2490   1.3648
58	4.685    6.84         	38.4293      54.6714      	26     21     	  -2.2533  -2.2524   2.1160
59	5.235    5.727        	8.51505      7.00398      	29     12     	  -2.2537  -2.2409   0.2759
60	7.513    6.037        	66.062       52.3939      	41     20     	   2.2568  -2.2543  -2.0345
